Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
January,633605253.5733364,565470000.0,330750000.0,65038092.38006545,3097161.193270809,1236909297.6178434,1236909297.6178434,633605253.5733364,565470000.0,330750000.0,65038092.38006545,3097161.193270809,1236909297.6178434,1236909297.6178434,330750000.0,330750000.0,565470000.0,565470000.0,234720000.0,234720000.0 
July,687438777.5143458,565470000.0,330750000.0,19333504.305256862,102635273.20908888,27673365.60142319,27673365.60142319,687438777.5143458,565470000.0,330750000.0,19333504.305256862,102635273.20908888,27673365.60142319,27673365.60142319,330750000.0,330750000.0,565470000.0,565470000.0,234720000.0,234720000.0 
