Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
January,2714325700.9737053,2470950000.0,1556550000.0,229137491.47647035,14238209.49724392,2108649503.1686032,2108649503.1686032,2714325700.9737053,2470950000.0,1556550000.0,229137491.47647035,14238209.49724392,2108649503.1686032,2108649503.1686032,1556550000.0,1556550000.0,2470950000.0,2470950000.0,914400000.0,914400000.0 
July,3610144018.671875,2470950000.0,1556550000.0,117631090.26158369,1021562928.4102923,161988294.02129567,161988294.02129567,3610144018.671875,2470950000.0,1556550000.0,117631090.26158369,1021562928.4102923,161988294.02129567,161988294.02129567,1556550000.0,1556550000.0,2470950000.0,2470950000.0,914400000.0,914400000.0 
